,Name,Platform,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Game_Age
57,Grand Theft Auto IV,PS3,Action,Take-Two Interactive,10.5,98.0,64.0,7.5,2833.0,Rockstar North,M,8.0
60,Call of Duty: Ghosts,X360,Shooter,Activision,10.25,73.0,29.0,2.6,2117.0,Infinity Ward,M,3.0
61,Just Dance 3,Wii,Misc,Ubisoft,10.12,74.0,15.0,7.8,16.0,Ubisoft,E10+,5.0
62,New Super Mario Bros. 2,3DS,Platform,Nintendo,9.9,78.0,70.0,7.2,424.0,Nintendo,E,4.0
64,Halo: Reach,X360,Shooter,Microsoft Game Studios,9.86,91.0,99.0,7.9,2045.0,Bungie,M,6.0
65,Final Fantasy VII,PS,Role-Playing,Sony Computer Entertainment,9.72,92.0,20.0,9.2,1282.0,SquareSoft,T,19.0
66,Halo 4,X360,Shooter,Microsoft Game Studios,9.71,87.0,87.0,7,3260.0,343 Industries,M,4.0
67,Gran Turismo 2,PS,Racing,Sony Computer Entertainment,9.49,93.0,23.0,9,135.0,Polyphony Digital,T,17.0
68,Just Dance 2,Wii,Misc,Ubisoft,9.44,74.0,24.0,7.3,24.0,Ubisoft,E10+,6.0
69,Call of Duty: Ghosts,PS3,Shooter,Activision,9.36,71.0,10.0,2.6,1047.0,Infinity Ward,M,3.0
70,Call of Duty 4: Modern Warfare,X360,Shooter,Activision,9.31,94.0,70.0,8.4,1320.0,Infinity Ward,M,9.0
73,Animal Crossing: New Leaf,3DS,Simulation,Nintendo,9.16,88.0,70.0,8.7,626.0,Nintendo,E,4.0
74,Mario Party DS,DS,Misc,Nintendo,8.91,72.0,27.0,7.8,85.0,Hudson Soft,E,9.0
75,The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks,8.79,96.0,89.0,8.4,3589.0,Bethesda Game Studios,M,5.0
77,FIFA 16,PS4,Sports,Electronic Arts,8.57,82.0,42.0,4.3,896.0,EA Sports,E,1.0
78,Halo 2,XB,Shooter,Microsoft Game Studios,8.49,95.0,91.0,8.2,1218.0,Bungie Software,M,12.0
79,Wii Party,Wii,Misc,Nintendo,8.38,68.0,42.0,7.4,54.0,Nd Cube,E,6.0
80,Mario Party 8,Wii,Misc,Nintendo,8.27,62.0,41.0,6.3,190.0,Hudson,E,9.0
81,FIFA Soccer 13,PS3,Action,Electronic Arts,8.16,88.0,37.0,6.6,348.0,Electronic Arts,E,4.0
84,Final Fantasy X,PS2,Role-Playing,Sony Computer Entertainment,8.05,92.0,53.0,8.7,1056.0,SquareSoft,T,15.0
85,The Sims 3,PC,Simulation,Electronic Arts,8.01,86.0,75.0,7.6,886.0,The Sims Studio,T,7.0
88,Final Fantasy VIII,PS,Role-Playing,SquareSoft,7.86,90.0,24.0,8.6,644.0,SquareSoft,T,17.0
90,Pokémon Platinum Version,DS,Role-Playing,Nintendo,7.72,83.0,46.0,8.5,203.0,Game Freak,E,8.0
91,Grand Theft Auto: Liberty City Stories,PSP,Action,Take-Two Interactive,7.69,88.0,65.0,7.6,451.0,Rockstar Leeds,M,11.0
92,Call of Duty: Advanced Warfare,PS4,Shooter,Activision,7.66,83.0,39.0,5.7,1443.0,Sledgehammer Games,M,2.0
94,FIFA 17,PS4,Sports,Electronic Arts,7.59,85.0,41.0,5,398.0,"EA Sports, EA Vancouver",E,0.0
97,Super Mario Galaxy 2,Wii,Platform,Nintendo,7.51,97.0,87.0,9.1,1854.0,Nintendo EAD Tokyo,E,6.0
100,Call of Duty: World at War,X360,Shooter,Activision,7.38,84.0,84.0,7.6,580.0,Treyarch,M,8.0
101,Battlefield 3,X360,Shooter,Electronic Arts,7.32,84.0,57.0,7.4,2142.0,EA DICE,M,5.0
102,Need for Speed Underground,PS2,Racing,Electronic Arts,7.2,85.0,33.0,8.6,171.0,EA Black Box,E,13.0
103,Just Dance,Wii,Misc,Ubisoft,7.2,49.0,21.0,8,110.0,Ubisoft Paris,E10+,7.0
104,Battlefield 3,PS3,Shooter,Electronic Arts,7.17,85.0,38.0,7.5,1761.0,EA DICE,M,5.0
105,Fallout 4,PS4,Role-Playing,Bethesda Softworks,7.16,87.0,58.0,6.5,4228.0,Bethesda Game Studios,M,1.0
106,Tekken 3,PS,Fighting,Sony Computer Entertainment,7.16,96.0,15.0,9.1,367.0,Namco,T,18.0
107,The Legend of Zelda: Twilight Princess,Wii,Action,Nintendo,7.15,95.0,73.0,9,1658.0,Nintendo,T,10.0
109,Crash Bandicoot 3: Warped,PS,Platform,Sony Computer Entertainment,7.13,91.0,12.0,8.9,432.0,Naughty Dog,E,18.0
110,Mario Kart 8,WiiU,Racing,Nintendo,7.09,88.0,82.0,9.1,1599.0,Nintendo,E,2.0
111,Super Smash Bros. Melee,GC,Fighting,Nintendo,7.07,92.0,38.0,9.1,568.0,HAL Labs,T,15.0
113,Need for Speed Underground 2,PS2,Racing,Electronic Arts,6.9,82.0,39.0,8.6,132.0,EA Canada,E,12.0
114,Medal of Honor: Frontline,PS2,Shooter,Electronic Arts,6.83,88.0,29.0,8.5,135.0,EA LA,T,14.0
116,Just Dance 4,Wii,Misc,Ubisoft,6.76,74.0,10.0,7.3,28.0,Ubisoft,E10+,4.0
117,Gears of War 2,X360,Shooter,Microsoft Game Studios,6.75,93.0,90.0,7.7,2739.0,Epic Games,M,8.0
118,Uncharted 3: Drake's Deception,PS3,Action,Sony Computer Entertainment,6.74,92.0,97.0,8.3,3712.0,Naughty Dog,T,5.0
120,Call of Duty 4: Modern Warfare,PS3,Shooter,Activision,6.68,94.0,44.0,8.4,993.0,Infinity Ward,M,9.0
121,Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment,6.66,96.0,105.0,8.8,5187.0,Naughty Dog,T,7.0
123,Big Brain Academy,DS,Misc,Nintendo,6.62,74.0,45.0,7.4,27.0,Nintendo,E,11.0
125,Red Dead Redemption,PS3,Action,Take-Two Interactive,6.49,95.0,73.0,8.8,2456.0,Rockstar San Diego,M,6.0
126,FIFA 14,PS3,Sports,Electronic Arts,6.47,86.0,37.0,4.3,576.0,EA Canada,E,3.0
127,Assassin's Creed III,PS3,Action,Ubisoft,6.45,85.0,41.0,6.9,1307.0,Ubisoft,M,4.0
128,Donkey Kong Country Returns,Wii,Platform,Nintendo,6.44,87.0,77.0,8.6,368.0,Retro Studios,E,6.0
129,Halo: Combat Evolved,XB,Shooter,Microsoft Game Studios,6.43,97.0,68.0,8.6,1283.0,Bungie Software,M,15.0
130,The Elder Scrolls V: Skyrim,PS3,Role-Playing,Bethesda Softworks,6.41,92.0,16.0,6.4,2527.0,Bethesda Game Studios,M,5.0
131,Pokémon Emerald Version,GBA,Role-Playing,Nintendo,6.41,76.0,28.0,9,222.0,Game Freak,E,12.0
132,Kingdom Hearts,PS2,Role-Playing,Sony Computer Entertainment,6.4,85.0,46.0,8.8,597.0,SquareSoft,E,14.0
134,Halo 3: ODST,X360,Shooter,Microsoft Game Studios,6.34,83.0,94.0,7.1,1163.0,"Bungie Software, Bungie",M,7.0
135,Red Dead Redemption,X360,Action,Take-Two Interactive,6.32,95.0,96.0,9,2316.0,Rockstar San Diego,M,6.0
136,Super Mario Sunshine,GC,Platform,Nintendo,6.31,92.0,61.0,8.6,439.0,Nintendo,E,14.0
138,World of Warcraft,PC,Role-Playing,Activision,6.29,93.0,57.0,7.3,2182.0,Blizzard Entertainment,T,12.0
139,Driver,PS,Action,GT Interactive,6.27,87.0,22.0,8.1,78.0,Reflections Interactive,T,17.0
140,Gears of War 3,X360,Shooter,Microsoft Game Studios,6.21,91.0,96.0,7.8,1504.0,Epic Games,M,5.0
141,Kinect Sports,X360,Sports,Microsoft Game Studios,6.19,73.0,51.0,7.4,95.0,Rare Ltd.,E10+,6.0
142,Gears of War,X360,Shooter,Microsoft Game Studios,6.09,94.0,88.0,8.3,2295.0,Epic Games,M,10.0
143,FIFA 15,PS4,Sports,Electronic Arts,6.08,82.0,47.0,5.7,988.0,EA Sports,E,2.0
144,Metal Gear Solid 2: Sons of Liberty,PS2,Action,Konami Digital Entertainment,6.05,96.0,42.0,8.7,1026.0,KCEJ,M,15.0
146,Metal Gear Solid,PS,Action,Konami Digital Entertainment,6.03,94.0,20.0,9.4,918.0,KCEJ,M,18.0
147,Metal Gear Solid 4: Guns of the Patriots,PS3,Action,Konami Digital Entertainment,5.99,94.0,82.0,8.7,3558.0,Kojima Productions,M,8.0
148,Final Fantasy XII,PS2,Role-Playing,Square Enix,5.95,92.0,64.0,7.6,972.0,Square Enix,T,10.0
149,The Last of Us,PS3,Action,Sony Computer Entertainment Europe,5.87,95.0,98.0,9.1,8003.0,Naughty Dog,M,3.0
150,LittleBigPlanet,PS3,Platform,Sony Computer Entertainment,5.82,95.0,85.0,6.8,5311.0,"SCE/WWS, Media Molecule",E,8.0
151,Resident Evil 2,PS,Action,Virgin Interactive,5.82,89.0,13.0,9.2,364.0,Capcom,M,18.0
152,Dragon Quest IX: Sentinels of the Starry Skies,DS,Role-Playing,Nintendo,5.78,87.0,65.0,8.8,197.0,Level 5,E10+,7.0
153,Tekken 2,PS,Fighting,Sony Computer Entertainment,5.74,89.0,8.0,8.9,102.0,Namco,T,20.0
154,Destiny,PS4,Shooter,Activision,5.64,76.0,95.0,6.1,5380.0,"Bungie Software, Bungie",T,2.0
155,LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,5.64,80.0,17.0,8.9,62.0,Traveller's Tales,E10+,9.0
156,Cooking Mama,DS,Simulation,505 Games,5.63,67.0,35.0,7.2,21.0,Taito Corporation,E,10.0
159,Assassin's Creed II,PS3,Action,Ubisoft,5.55,91.0,70.0,8.6,1202.0,Ubisoft Montreal,M,7.0
160,Assassin's Creed,X360,Adventure,Ubisoft,5.54,81.0,77.0,7.7,1074.0,Ubisoft Montreal,M,9.0
161,Forza Motorsport 3,X360,Racing,Microsoft Game Studios,5.49,92.0,90.0,8,516.0,Turn 10,E,7.0
162,Super Mario Advance,GBA,Platform,Nintendo,5.49,84.0,19.0,7.8,41.0,Nintendo,E,15.0
163,Monster Hunter Freedom Unite,PSP,Role-Playing,Capcom,5.48,81.0,48.0,8.7,124.0,Capcom,T,8.0
164,Batman: Arkham City,PS3,Action,Warner Bros. Interactive Entertainment,5.48,96.0,42.0,8.6,2162.0,Rocksteady Studios,T,5.0
165,Grand Theft Auto V,XOne,Action,Take-Two Interactive,5.48,97.0,14.0,7.9,764.0,Rockstar North,M,2.0
166,Mario Kart: Super Circuit,GBA,Racing,Nintendo,5.47,93.0,24.0,8.3,108.0,Intelligent Systems,E,15.0
169,Crash Bandicoot: The Wrath of Cortex,PS2,Platform,Universal Interactive,5.42,66.0,22.0,7.1,156.0,Traveller's Tales,E,15.0
170,Call of Duty: World at War,PS3,Shooter,Activision,5.39,85.0,45.0,7.6,409.0,Treyarch,M,8.0
171,Uncharted 4: A Thief's End,PS4,Shooter,Sony Computer Entertainment,5.38,93.0,113.0,7.9,7064.0,Naughty Dog,T,0.0
173,Final Fantasy XIII,PS3,Role-Playing,Square Enix,5.33,83.0,83.0,7.3,2483.0,Square Enix,T,7.0
175,Final Fantasy IX,PS,Role-Playing,SquareSoft,5.3,94.0,22.0,8.9,779.0,SquareSoft,T,16.0
176,Assassin's Creed III,X360,Action,Ubisoft,5.29,84.0,61.0,6.7,1196.0,Ubisoft,M,4.0
177,Final Fantasy X-2,PS2,Role-Playing,Electronic Arts,5.29,85.0,45.0,6.6,400.0,SquareSoft,T,13.0
179,Call of Duty: Advanced Warfare,XOne,Shooter,Activision,5.27,81.0,53.0,5.4,898.0,Sledgehammer Games,M,2.0
181,Assassin's Creed II,X360,Action,Ubisoft,5.26,90.0,82.0,8.8,1305.0,Ubisoft Montreal,M,7.0
185,New Super Mario Bros. U,WiiU,Platform,Nintendo,5.22,84.0,70.0,8.1,733.0,Nintendo,E,4.0
186,Dragon Quest VIII: Journey of the Cursed King,PS2,Role-Playing,Square Enix,5.21,89.0,63.0,8.8,245.0,Level 5,T,12.0
188,Professor Layton and the Curious Village,DS,Puzzle,Nintendo,5.19,85.0,72.0,8.6,147.0,Level 5,E,9.0
190,FIFA Soccer 13,X360,Action,Electronic Arts,5.16,90.0,48.0,6.1,403.0,Electronic Arts,E,4.0
192,Diablo III,PC,Role-Playing,Activision,5.14,88.0,86.0,4,9629.0,Blizzard Entertainment,M,4.0
193,Medal of Honor: Rising Sun,PS2,Shooter,Electronic Arts,5.13,68.0,30.0,7.6,100.0,EA LA,T,13.0
196,Guitar Hero II,PS2,Misc,RedOctane,5.12,92.0,69.0,8.5,112.0,Harmonix Music Systems,T,10.0
197,Fable III,X360,Role-Playing,Microsoft Game Studios,5.1,80.0,88.0,6.5,604.0,Lionhead Studios,M,6.0
199,Resident Evil 5,PS3,Action,Capcom,5.09,84.0,76.0,7.5,667.0,Capcom,M,7.0
200,The Legend of Zelda: Phantom Hourglass,DS,Action,Nintendo,5.08,90.0,57.0,8,416.0,Nintendo,E,9.0
202,FIFA Soccer 11,PS3,Sports,Electronic Arts,5.07,89.0,51.0,8,233.0,EA Sports,E,6.0
203,Resident Evil,PS,Action,Virgin Interactive,5.05,91.0,8.0,9,266.0,Capcom,M,20.0
204,Grand Theft Auto: Vice City Stories,PSP,Action,Take-Two Interactive,5.03,86.0,50.0,8,150.0,Rockstar Leeds,M,10.0
205,Tony Hawk's Pro Skater,PS,Sports,Activision,5.02,92.0,18.0,9.2,69.0,Neversoft Entertainment,T,17.0
208,Guitar Hero III: Legends of Rock,PS2,Misc,Activision,4.98,82.0,24.0,8.2,46.0,"Neversoft Entertainment, BudCat",T,9.0
209,Link's Crossbow Training,Wii,Shooter,Nintendo,4.98,68.0,34.0,7.1,47.0,Nintendo,T,9.0
211,Fallout 3,X360,Role-Playing,Bethesda Softworks,4.93,93.0,84.0,8.5,1655.0,Bethesda Game Studios,M,8.0
212,Uncharted: Drake's Fortune,PS3,Action,Sony Computer Entertainment,4.92,88.0,66.0,8.1,2306.0,"Naughty Dog, SCE/WWS",T,9.0
213,Madden NFL 06,PS2,Sports,Electronic Arts,4.91,88.0,29.0,8,121.0,EA Sports,E,11.0
218,StarCraft II: Wings of Liberty,PC,Strategy,Activision,4.84,93.0,82.0,8.2,3052.0,Blizzard Entertainment,T,6.0
219,Assassin's Creed,PS3,Adventure,Ubisoft,4.82,81.0,40.0,7.3,769.0,Ubisoft Montreal,M,9.0
220,God of War III,PS3,Action,Sony Computer Entertainment,4.8,92.0,101.0,8.7,2633.0,SCE Santa Monica,M,6.0
221,Crash Team Racing,PS,Racing,Sony Computer Entertainment,4.79,88.0,20.0,9,233.0,Naughty Dog,E,17.0
222,LEGO Star Wars: The Complete Saga,DS,Action,LucasArts,4.76,80.0,9.0,5.4,46.0,TT Fusion,E,9.0
223,Driver 2,PS,Action,Atari,4.73,62.0,14.0,7.7,92.0,Reflections Interactive,T,16.0
224,Batman: Arkham City,X360,Action,Warner Bros. Interactive Entertainment,4.73,94.0,87.0,8.7,1472.0,Rocksteady Studios,T,5.0
227,Tony Hawk's Pro Skater 2,PS,Sports,Activision,4.68,98.0,19.0,7.7,299.0,Neversoft Entertainment,T,16.0
228,The Lord of the Rings: The Two Towers,PS2,Action,Electronic Arts,4.67,82.0,32.0,8.2,78.0,Stormfront Studios,T,14.0
229,Tomb Raider,PS,Action,Eidos Interactive,4.63,91.0,13.0,8.6,147.0,Core Design Ltd.,T,20.0
230,Animal Crossing: City Folk,Wii,Simulation,Nintendo,4.62,73.0,50.0,7.6,119.0,Nintendo,E,8.0
231,Uncharted: The Nathan Drake Collection,PS4,Action,Sony Computer Entertainment,4.62,86.0,78.0,8.1,1264.0,Bluepoint Games,T,1.0
233,The Legend of Zelda: The Wind Waker,GC,Action,Nintendo,4.6,96.0,80.0,8.9,968.0,Nintendo,E,14.0
234,Guitar Hero III: Legends of Rock,Wii,Misc,Activision,4.6,86.0,36.0,8.4,87.0,Vicarious Visions,T,9.0
235,Luigi's Mansion: Dark Moon,3DS,Action,Nintendo,4.59,86.0,74.0,8.4,458.0,Next Level Games,E,3.0
236,Forza Motorsport 4,X360,Racing,Microsoft Game Studios,4.57,91.0,83.0,8.2,617.0,Turn 10,E,5.0
238,Madden NFL 2005,PS2,Sports,Electronic Arts,4.53,91.0,30.0,7.9,78.0,EA Tiburon,E,12.0
239,Guitar Hero III: Legends of Rock,X360,Misc,Activision,4.53,85.0,69.0,7.9,165.0,Neversoft Entertainment,T,9.0
241,Madden NFL 07,PS2,Sports,Electronic Arts,4.49,84.0,29.0,8.2,39.0,EA Sports,E,10.0
242,Halo 5: Guardians,XOne,Shooter,Microsoft Game Studios,4.48,84.0,101.0,6.4,2438.0,343 Industries,T,1.0
243,Spider-Man: The Movie,PS2,Action,Activision,4.48,76.0,25.0,7.9,41.0,Treyarch,E,14.0
245,Call of Duty: Infinite Warfare,PS4,Shooter,Activision,4.46,77.0,82.0,3.4,1129.0,Infinity Ward,M,0.0
246,God of War,PS2,Action,Sony Computer Entertainment,4.45,94.0,75.0,8.9,997.0,SCE Santa Monica,M,11.0
247,Splatoon,WiiU,Shooter,Nintendo,4.43,81.0,88.0,8.5,1184.0,Nintendo,E10+,1.0
248,Nintendo Land,WiiU,Misc,Nintendo,4.42,77.0,61.0,7.9,471.0,Nintendo,E10+,4.0
249,Tony Hawk's Pro Skater 3,PS2,Sports,Activision,4.41,97.0,34.0,7.5,298.0,Neversoft Entertainment,T,15.0
250,Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports,Konami Digital Entertainment,4.39,86.0,19.0,8.9,33.0,Konami,E,10.0
251,The Elder Scrolls IV: Oblivion,X360,Role-Playing,Take-Two Interactive,4.38,94.0,90.0,8.7,1109.0,Bethesda Softworks,M,10.0
253,Need for Speed: Most Wanted,PS2,Racing,Electronic Arts,4.37,82.0,36.0,9.1,137.0,EA Canada,T,11.0
254,Michael Jackson: The Experience,Wii,Misc,Ubisoft,4.36,56.0,37.0,8.3,31.0,"Ubisoft Paris, Ubisoft Montpellier",E10+,6.0
256,Resistance: Fall of Man,PS3,Shooter,Sony Computer Entertainment,4.34,86.0,70.0,8.1,715.0,Insomniac Games,M,10.0
258,Kingdom Hearts II,PS2,Role-Playing,Square Enix,4.33,87.0,64.0,9,766.0,Square Enix,E10+,11.0
260,Super Mario 3D World,WiiU,Platform,Nintendo,4.32,93.0,83.0,9,1607.0,Nintendo,E,3.0
265,Fable II,X360,Role-Playing,Microsoft Game Studios,4.27,89.0,95.0,6.5,2423.0,Lionhead Studios,M,8.0
266,Namco Museum,GBA,Misc,Namco Bandai Games,4.24,79.0,10.0,7.3,6.0,Mass Media,E,15.0
267,Batman: Arkham Asylum,PS3,Action,Eidos Interactive,4.23,91.0,70.0,8.9,1122.0,Rocksteady Studios,T,7.0
268,Metal Gear Solid 3: Snake Eater,PS2,Action,Konami Digital Entertainment,4.23,91.0,68.0,9.3,955.0,KCEJ,M,12.0
269,Assassin's Creed: Revelations,PS3,Action,Ubisoft,4.22,80.0,39.0,7.5,613.0,Ubisoft Montreal,M,5.0
270,Fallout 4,XOne,Role-Playing,Bethesda Softworks,4.22,88.0,39.0,6.2,1749.0,Bethesda Game Studios,M,1.0
271,FIFA 14,X360,Sports,Electronic Arts,4.22,84.0,41.0,4.2,435.0,EA Canada,E,3.0
272,Daxter,PSP,Platform,Sony Computer Entertainment,4.21,85.0,59.0,8.7,109.0,Ready at Dawn,E10+,10.0
274,FIFA Soccer 06,PS2,Sports,Electronic Arts,4.21,80.0,32.0,7.8,47.0,EA Canada,E,11.0
275,EyeToy Play,PS2,Misc,Sony Computer Entertainment,4.2,80.0,32.0,7.5,22.0,"SCEE, Zoe Mode",E,13.0
276,Gran Turismo 5 Prologue,PS3,Racing,Sony Computer Entertainment,4.19,80.0,67.0,7.1,120.0,Polyphony Digital,E,9.0
277,Assassin's Creed: Revelations,X360,Action,Ubisoft,4.19,80.0,77.0,7.2,564.0,Ubisoft Montreal,M,5.0
280,Street Fighter IV,PS3,Fighting,Capcom,4.16,94.0,61.0,7.3,330.0,Capcom,T,7.0
283,Madden NFL 2003,PS2,Sports,Electronic Arts,4.14,95.0,25.0,7.7,65.0,EA Sports,E,14.0
284,Half-Life,PC,Shooter,Vivendi Games,4.12,96.0,24.0,9.1,3161.0,Valve Software,M,19.0
288,World of Warcraft: The Burning Crusade,PC,Role-Playing,Activision,4.09,91.0,46.0,7.9,785.0,Blizzard Entertainment,T,9.0
289,Battlefield 1,PS4,Shooter,Electronic Arts,4.08,88.0,31.0,8.4,809.0,EA DICE,M,0.0
290,God of War II,PS2,Action,Sony Computer Entertainment,4.07,93.0,70.0,8.9,709.0,SCE Santa Monica,M,9.0
292,Fallout: New Vegas,X360,Role-Playing,Bethesda Softworks,4.05,84.0,81.0,8.1,769.0,Obsidian Entertainment,M,6.0
293,Forza Motorsport 2,X360,Racing,Microsoft Game Studios,4.05,90.0,66.0,8.3,381.0,Turn 10,E,9.0
294,Carnival Games,Wii,Misc,Take-Two Interactive,4.05,56.0,27.0,6,44.0,Cat Daddy Games,E,9.0
295,Watch Dogs,PS4,Action,Ubisoft,4.05,80.0,80.0,6.3,2996.0,Ubisoft Montreal,M,2.0
297,Tekken Tag Tournament,PS2,Fighting,Namco Bandai Games,4.05,85.0,25.0,8.5,117.0,Namco,T,16.0
298,Far Cry 4,PS4,Shooter,Ubisoft,4.04,85.0,83.0,7.7,1653.0,Ubisoft Montreal,M,2.0
302,Left 4 Dead 2,X360,Shooter,Electronic Arts,3.97,89.0,76.0,8.6,681.0,Valve Software,M,7.0
303,The Witcher 3: Wild Hunt,PS4,Role-Playing,Namco Bandai Games,3.97,92.0,79.0,9.2,10179.0,CD Projekt Red Studio,M,1.0
304,Assassin's Creed: Unity,PS4,Action,Ubisoft,3.96,70.0,40.0,4.9,2050.0,"Ubisoft, Ubisoft Montreal",M,2.0
305,Batman: Arkham Knight,PS4,Action,Warner Bros. Interactive Entertainment,3.95,87.0,89.0,7.6,2679.0,Rocksteady Studios,M,1.0
306,The Legend of Zelda: Skyward Sword,Wii,Action,Nintendo,3.95,93.0,81.0,8,1958.0,Nintendo,E10+,5.0
307,Fallout 3,PS3,Role-Playing,Bethesda Softworks,3.94,90.0,57.0,8,910.0,Bethesda Game Studios,M,8.0
308,Professor Layton and the Diabolical Box,DS,Puzzle,Nintendo,3.94,84.0,65.0,8.8,72.0,Level 5,E10+,9.0
310,EA Sports Active,Wii,Sports,Electronic Arts,3.9,81.0,27.0,8.7,39.0,EA Canada,E,7.0
311,Tony Hawk's Underground,PS2,Sports,Activision,3.9,90.0,38.0,8.7,121.0,Neversoft Entertainment,T,13.0
312,Monster Hunter 4 Ultimate,3DS,Role-Playing,Nintendo,3.89,86.0,80.0,8.7,348.0,Capcom,T,2.0
313,The Elder Scrolls V: Skyrim,PC,Role-Playing,Bethesda Softworks,3.88,94.0,32.0,8.1,9073.0,Bethesda Game Studios,M,5.0
